australian_appl_no,patent_status_type,examination_section_name,invention_description
2006266251,LAPSED,CHEM 1 - Biotechnology,Methods for screening for gene specific hybridization polymorphisms (GSHPs) and their use in genetic mapping and marker development
2006266254,LAPSED,MXT - Mixed Technology,Conversion system for reducing NOx emissions
2006266259,CEASED,MECH 4 - Medical Devices,A hand piece for the delievery of light and system employing the hand piece
2006266265,LAPSED,,System and method for forming textured polymeric films
2006266287,LAPSED,,"Improved processes for the preparation of protected -(+)-catechin and (-)-epicatechin nomomers, for coupling the protected monomers with an activated, protected epicatechin monomer, and for the preparation of epicatechin-(4beta, 8)-epicatechin or -catechin dimers and their digallates"
2006266289,GRANTED,MECH 3 - Process Engineering,Enhancement of molecular sieve performance
2006266290,LAPSED,ELEC 1 - Physics,System for providing security to a game controller device for electronic trading
2006266293,GRANTED,MECH 1 - Mechanical Engineering,Method and system for regeneration of a catalyst
2006266295,GRANTED,ELEC 2 - Electronics and Communications,System and method for locomotive adhesion control
2006266299,GRANTED,ELEC 1 - Physics,System for managing a game controller device for electronic trading
2006266300,GRANTED,MECH 4 - Medical Devices,Presbyopia correction through negative high-order spherical aberration
2006266325,GRANTED,ELEC 2 - Electronics and Communications,Systems and methods for making channel assignments to reduce interference and increase capacity of wireless networks
2006266328,GRANTED,MECH 3 - Process Engineering,Wood preservative composition
2006266342,CEASED,MECH 3 - Process Engineering,Multiple nozzle venturi system for watercraft
2006266346,GRANTED,MECH 3 - Process Engineering,Corkscrew with cork stabiliser
2006266353,CEASED,CHEM 4 - Polymers and Applied Chemistry,Process for the production of sulfur from sulfur dioxide
2006266373,GRANTED,ELEC 2 - Electronics and Communications,Method to detect a User Equipment stuck on a dedicated channel
2006266382,LAPSED,,Grip belt drive system
2006266391,CEASED,MXT - Mixed Technology,Mold charge delivery
2006266397,LAPSED,CHEM 2 - Chemical Compounds,Alpha-2 adrenergic agonists for the treatment of pain
2006266406,LAPSED,MECH 4 - Medical Devices,Non-linear artificial ligament system
2006266410,LAPSED,ELEC 2 - Electronics and Communications,Normalized images for cameras
2006266424,GRANTED,ELEC 2 - Electronics and Communications,A self-erecting suspension platform system
2006266426,GRANTED,ELEC 2 - Electronics and Communications,Caller-callee association of a plurality of networked devices
2006266432,LAPSED,ELEC 2 - Electronics and Communications,"Reflector rack, fabrication method thereof, and narrow band x-ray filter and system including same"
2006266444,CEASED,CHEM 3 - Pharmaceuticals,Platinum complexes with mononitrile-containing ligands
2006266445,CEASED,CHEM 3 - Pharmaceuticals,Monoimine ligand platinum analogs
2006266446,CEASED,CHEM 2 - Chemical Compounds,Monoazole ligand platinum analogs
2006266452,LAPSED,ELEC 3 - Computing,Virtual apparel fitting
2006266453,LAPSED,,Method to produce durable non-vitrified fly ash bricks and blocks
2006266454,GRANTED,MECH 2 - Construction and Mining,Stretchable and permeable non-woven protective gloves
2006266459,GRANTED,MXT - Mixed Technology,Formation tester tool assembly
2006266461,GRANTED,MECH 3 - Process Engineering,Primary heat exchanger for patient temperature control
2006266463,LAPSED,MXT - Mixed Technology,Pentasil catalyst for light olefins in fluidized catalytic units
2006266464,LAPSED,ELEC 1 - Physics,Valve control system for a rotating multiplex fluorescence detection device
2006266465,LAPSED,ELEC 3 - Computing,Heating element for a rotating multiplex fluorescence detection device
2006266467,LAPSED,ELEC 3 - Computing,System and method for managing communications sessions in a network
2006266470,CEASED,ELEC 3 - Computing,Universal peer-to-peer game download
2006266471,CEASED,MECH 3 - Process Engineering,Paper towel with superior wiping properties
2006266482,GRANTED,MECH 3 - Process Engineering,HVI-PAO in industrial lubricant and grease compositions
2006266487,LAPSED,,Ammunition arrangement
2006266492,GRANTED,CHEM 3 - Pharmaceuticals,"Use of Lactobacillus for increasing the absorption of a metal chosen from Fe, Zn, Ca and ions thereof"
2006266498,CEASED,MECH 3 - Process Engineering,Chemical process
2006266501,GRANTED,CHEM 3 - Pharmaceuticals,Heparin coating of biological tissue
2006266503,GRANTED,"Vacant - A1 PBR, Plants and Biotechnology",Immunostimulatory method
2006266504,CEASED,MECH 3 - Process Engineering,Adhesive composition and method
2006266506,CEASED,CHEM 4 - Polymers and Applied Chemistry,Adhesive system and method
2006266517,GRANTED,ELEC 3 - Computing,Dot pattern
2006266525,GRANTED,MECH 1 - Mechanical Engineering,A pump
2006266529,GRANTED,MECH 3 - Process Engineering,Method of preparing a separation matrix
2006266536,LAPSED,,"[1,2,4] triazolo [1,5-A]pyrimidine derivatives as chromatographic adsorbent for the selective adsorption of IgG"
2006266543,CEASED,MECH 2 - Construction and Mining,Riser installation method from an offshore production unit
2006266546,GRANTED,MECH 3 - Process Engineering,Infant nutrition with hydrolised proteins
2006266548,LAPSED,,Coupling between two bodies
2006266551,LAPSED,CHEM 3 - Pharmaceuticals,A carbohydrate fraction and use thereof for a flat postprandial glucose response
2006266557,GRANTED,ELEC 3 - Computing,Well having inductively coupled power and signal transmission
2006266562,CEASED,MECH 1 - Mechanical Engineering,Vessel for transport of compressed natural gas
2006266564,GRANTED,MECH 3 - Process Engineering,A breathing assistance apparatus with a manifold to add auxiliary gases to ambient gases
2006266569,CEASED,MECH 4 - Medical Devices,Continuous positive airway pressure device
2006266570,CEASED,ELEC 3 - Computing,Drag racing roller coaster amusement ride and launch system
2006266579,GRANTED,ELEC 1 - Physics,Method and apparatus for encoding and decoding an audio signal
2006266595,GRANTED,ELEC 2 - Electronics and Communications,System and method for notifying completion of network re-entry procedure in a communication system
2006266598,GRANTED,MXT - Mixed Technology,System and method for state synchronization between a base station and a mobile station in a mobile communication system
2006266609,CEASED,MECH 3 - Process Engineering,Treatment of tumors
2006266612,GRANTED,MECH 3 - Process Engineering,Control method for time display in drum type washer by spray steam
2006266625,CEASED,ELEC 3 - Computing,System and method for designing landscape architecture based on real image
2006266627,CEASED,MECH 3 - Process Engineering,Method for controlling information display using the avatar in the washing machine
2006266628,CEASED,MECH 3 - Process Engineering,Avatar image processing unit and washing machine having the same
2006266629,CEASED,MECH 3 - Process Engineering,Remote monitor having avatar image processing unit
2006266631,CEASED,MECH 3 - Process Engineering,Washing machine having broadcasting receiver
2006266651,GRANTED,ELEC 2 - Electronics and Communications,Authentication system and method thereof in a communication system
2006266655,GRANTED,ELEC 3 - Computing,Apparatus for encoding and decoding audio signal and method thereof
2006266678,LAPSED,MECH 3 - Process Engineering,"Brittle material scribing wheel, method for manufacturing such brittle material scribing wheel, and scribing method, scribing apparatus and scribing tool using such brittle material scribing wheel"
2006266691,CEASED,CHEM 3 - Pharmaceuticals,Antibacterial agent comprising silver-containing aluminum sulfate hydroxide particle and use thereof
2006266711,LAPSED,,Activator of peroxisome proliferator activated receptor delta
2006266713,LAPSED,,Method for producing 4(3H)-quinazolinone derivative
2006266731,LAPSED,ELEC 1 - Physics,Oscillatory wave detecting apparatus
2006266741,GRANTED,,Drug-introduced photo-crosslinked hyaluronic acid derived gel
2006266751,GRANTED,CHEM 3 - Pharmaceuticals,Compositions for ameliorating a reduced higher brain function resulting from organic brain lesions
2006266755,GRANTED,CHEM 3 - Pharmaceuticals,Compositions ameliorating a reduced diurnal activity and/or depressive symptoms
2006266760,GRANTED,MXT - Mixed Technology,Novel genes involved in petroselinic acid biosynthesis and method for producing petroselinic acid
2006266874,CEASED,CHEM 2 - Chemical Compounds,Process for producing glycidyl 2-hydroxyisobutyrate and composition containing the product
2006266904,GRANTED,MECH 1 - Mechanical Engineering,Reinforcing bar binding machine
2006266920,CEASED,CHEM 4 - Polymers and Applied Chemistry,A scavenger for aldehyde(s) and a manufacturing method of a woody panel using the same
2006266965,GRANTED,MECH 3 - Process Engineering,Fin tube heat exchanger
2006267001,GRANTED,MECH 1 - Mechanical Engineering,Synthetic resin bottle body
2006267037,LAPSED,CHEM 2 - Chemical Compounds,PPAR[alpha/gamma] agonists and processes of preparing
2006267039,LAPSED,,Compositions and methods for biocatalytic engineering
2006267041,GRANTED,MECH 2 - Construction and Mining,Pallet clamping device
2006267042,LAPSED,CHEM 4 - Polymers and Applied Chemistry,Production plant and method for converting biomass
2006267047,LAPSED,,"Hemostatic compositions, assemblies, systems, and methods employing particulate hemostatic agents formed from chitosan and including a polymer mesh material of poly-4-hydroxy butyrate"
2006267048,LAPSED,MECH 2 - Construction and Mining,Electronic cutting apparatus and methods for cutting
2006267051,GRANTED,CHEM 3 - Pharmaceuticals,Antisense antibacterial method and compound
2006267056,GRANTED,MECH 4 - Medical Devices,Apparatus and methods for occluding a hollow anatomical structure
2006267057,LAPSED,MECH 2 - Construction and Mining,Electronic paper cutting apparatus and method
2006267066,LAPSED,CHEM 2 - Chemical Compounds,Antiviral compounds
2006267068,GRANTED,CHEM 4 - Polymers and Applied Chemistry,Method for prolonging the life of animals
2006267077,LAPSED,CHEM 2 - Chemical Compounds,Heterotetracyclic compounds as TPO mimetics
2006267078,GRANTED,ELEC 1 - Physics,Miniature switch and battery holder
2006267081,CEASED,MECH 1 - Mechanical Engineering,Bone plates with movable locking elements
2006267082,LAPSED,MECH 3 - Process Engineering,Microfluidic devices and methods of preparing and using the same
2006267086,CEASED,MECH 3 - Process Engineering,Method of unidirectional solidification of castings and associated apparatus
2006267090,GRANTED,CHEM 3 - Pharmaceuticals,Methods for the treatment of autoimmune disorders using immunosuppressive monoclonal antibodies with reduced toxicity
2006267097,LAPSED,CHEM 1 - Biotechnology,Methods of diagnosing and treating an inflammatory response
2006267110,CEASED,CHEM 4 - Polymers and Applied Chemistry,A system for treating contaminated air with UV-light
2006267137,GRANTED,ELEC 3 - Computing,"A label having a temperature-monitoring function, a package for goods provided with a label, as well as a method and equipment for the application of labels to packages for goods"
2006267143,GRANTED,MECH 3 - Process Engineering,Fastening spider and method of fastening
2006267145,CEASED,ELEC 1 - Physics,A cuvette and a method and shaping tool for manufacture thereof
2006267148,LAPSED,CHEM 2 - Chemical Compounds,New pyridine analogues
2006267149,LAPSED,,"Spray device, method for spraying a certain quantity of fluid and a process for manufacturing the device"
2006267162,LAPSED,,Method for evaluating the effects of smoke on bronchioles
2006267170,GRANTED,,Emulsifier
2006267171,LAPSED,ELEC 2 - Electronics and Communications,"System and method for preparing a beverage suitable for consumption, and a use of such a system, a receiving chamber and a holder"
2006267173,LAPSED,CHEM 4 - Polymers and Applied Chemistry,A method for detecting peptides comprising a cross-B structure
2006267174,LAPSED,CHEM 3 - Pharmaceuticals,Adjuvation through cross-beta structure
2006267175,LAPSED,,Method for detecting peptides comprising a cross-beta structure
2006267176,LAPSED,CHEM 4 - Polymers and Applied Chemistry,Cross-beta structure binding compounds
2006267177,LAPSED,CHEM 4 - Polymers and Applied Chemistry,Methods for determining the effect of a treatment on the cross-beta structure content of a protein; selection of treatments and uses thereof
2006267188,GRANTED,MECH 1 - Mechanical Engineering,System and method for dynamic sealing around a drill stem
2006267193,LAPSED,,A processing device and methods of use
2006267198,CEASED,MECH 4 - Medical Devices,System for automatic detection of forest fires through optic spectroscopy
2006267243,CEASED,ELEC 2 - Electronics and Communications,Plug with slidable pins and blocking device
2006267249,GRANTED,MXT - Mixed Technology,Shower apparatus
2006267255,GRANTED,ELEC 2 - Electronics and Communications,Handover method and apparatus between different systems
2006267263,LAPSED,ELEC 3 - Computing,3-dimensional image detector
2006267338,CEASED,CHEM 4 - Polymers and Applied Chemistry,Heterocycle-substituted benzimidazole derivative
2006267368,LAPSED,MECH 1 - Mechanical Engineering,Plastic container having pearl-like appearance and process for producing the same
